Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
C23,FAM,,Unkn,,,29.08389467,29.08389467,0,NaN,NaN,NaN,0,60,
C24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
D01,FAM,,Unkn,,,27.28030733,27.28030733,0,NaN,NaN,NaN,0,60,
D02,FAM,,Unkn,,,27.28089373,27.28089373,0,NaN,NaN,NaN,0,60,
D03,FAM,,Unkn,,,28.07928286,28.07928286,0,NaN,NaN,NaN,0,60,
D04,FAM,,Unkn,,,27.5257037,27.5257037,0,NaN,NaN,NaN,0,60,
D05,FAM,,Unkn,,,27.03900793,27.03900793,0,NaN,NaN,NaN,0,60,
D06,FAM,,Unkn,,,27.54573697,27.54573697,0,NaN,NaN,NaN,0,60,
D07,FAM,,Unkn,,,29.49603097,29.49603097,0,NaN,NaN,NaN,0,60,
D08,FAM,,Unkn,,,30.04424621,30.04424621,0,NaN,NaN,NaN,0,60,
D09,FAM,,Unkn,,,29.57989418,29.57989418,0,NaN,NaN,NaN,0,60,
D10,FAM,,Unkn,,,31.92043797,31.92043797,0,NaN,NaN,NaN,0,60,
D11,FAM,,Unkn,,,28.46727373,28.46727373,0,NaN,NaN,NaN,0,60,
D12,FAM,,Unkn,,,28.95546177,28.95546177,0,NaN,NaN,NaN,0,60,
D13,FAM,,Unkn,,,27.36974909,27.36974909,0,NaN,NaN,NaN,0,60,
D14,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
D15,FAM,,Unkn,,,27.09176676,27.09176676,0,NaN,NaN,NaN,0,60,
D16,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
D17,FAM,,Unkn,,,27.09496284,27.09496284,0,NaN,NaN,NaN,0,60,
D18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
D19,FAM,,Unkn,,,28.2257414,28.2257414,0,NaN,NaN,NaN,0,60,
D20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
D21,FAM,,Unkn,,,34.5163362,34.5163362,0,NaN,NaN,NaN,0,60,
D22,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
D23,FAM,,Unkn,,,28.15551004,28.15551004,0,NaN,NaN,NaN,0,60,
D24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
E01,FAM,,Unkn,,,27.16980633,27.16980633,0,NaN,NaN,NaN,0,60,
E02,FAM,,Unkn,,,27.31736093,27.31736093,0,NaN,NaN,NaN,0,60,
E03,FAM,,Unkn,,,27.93314339,27.93314339,0,NaN,NaN,NaN,0,60,
E04,FAM,,Unkn,,,27.56803277,27.56803277,0,NaN,NaN,NaN,0,60,
E05,FAM,,Unkn,,,26.72050218,26.72050218,0,NaN,NaN,NaN,0,60,
E06,FAM,,Unkn,,,27.50646826,27.50646826,0,NaN,NaN,NaN,0,60,
E07,FAM,,Unkn,,,29.26292084,29.26292084,0,NaN,NaN,NaN,0,60,
E08,FAM,,Unkn,,,29.82187227,29.82187227,0,NaN,NaN,NaN,0,60,
E09,FAM,,Unkn,,,29.51890365,29.51890365,0,NaN,NaN,NaN,0,60,
E10,FAM,,Unkn,,,31.44967314,31.44967314,0,NaN,NaN,NaN,0,60,
E11,FAM,,Unkn,,,28.37468053,28.37468053,0,NaN,NaN,NaN,0,60,
E12,FAM,,Unkn,,,28.58256255,28.58256255,0,NaN,NaN,NaN,0,60,
E13,FAM,,Unkn,,,27.1077915,27.1077915,0,NaN,NaN,NaN,0,60,
E14,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
E15,FAM,,Unkn,,,26.94851932,26.94851932,0,NaN,NaN,NaN,0,60,
E16,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
E17,FAM,,Unkn,,,27.34152108,27.34152108,0,NaN,NaN,NaN,0,60,
E18,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
E19,FAM,,Unkn,,,28.12870248,28.12870248,0,NaN,NaN,NaN,0,60,
E20,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
E21,FAM,,Unkn,,,34.23713787,34.23713787,0,NaN,NaN,NaN,0,60,
E22,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
E23,FAM,,Unkn,,,28.52613672,28.52613672,0,NaN,NaN,NaN,0,60,
E24,FAM,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
F01,FAM,,Unkn,,,27.21839761,27.21839761,0,NaN,NaN,NaN,0,60,
F02,FAM,,Unkn,,,27.33070065,27.33070065,0,NaN,NaN,NaN,0,60,
F03,FAM,,Unkn,,,27.89384634,27.89384634,0,NaN,NaN,NaN,0,60,
F04,FAM,,Unkn,,,27.4605119,27.4605119,0,NaN,NaN,NaN,0,60,
