Well,Fluor,Cq
J20,FAM,NaN
J21,FAM,NaN
J22,FAM,NaN
J23,FAM,NaN
J24,FAM,NaN
K01,FAM,29.30289893
K02,FAM,NaN
K03,FAM,29.67411295
K04,FAM,NaN
K05,FAM,28.9158318
K06,FAM,NaN
K07,FAM,29.44353726
K08,FAM,NaN
K09,FAM,29.23859089
K10,FAM,NaN
K11,FAM,29.79715768
K12,FAM,NaN
K13,FAM,28.98517796
K14,FAM,NaN
K15,FAM,30.44671426
K16,FAM,NaN
K17,FAM,29.12964334
K18,FAM,NaN
K19,FAM,29.98923285
K20,FAM,NaN
K21,FAM,NaN
K22,FAM,NaN
K23,FAM,NaN
K24,FAM,NaN
L01,FAM,29.37025889
L02,FAM,NaN
L03,FAM,29.59749016
L04,FAM,NaN
L05,FAM,28.98279641
L06,FAM,NaN
L07,FAM,29.44405305
L08,FAM,NaN
L09,FAM,29.33576226
L10,FAM,NaN
L11,FAM,30.12699605
L12,FAM,NaN
L13,FAM,28.81916334
L14,FAM,NaN
L15,FAM,30.2763565
L16,FAM,NaN
L17,FAM,29.29178674
L18,FAM,NaN
L19,FAM,30.06443539
L20,FAM,NaN
L21,FAM,NaN
L22,FAM,NaN
L23,FAM,NaN
L24,FAM,NaN
M01,FAM,30.87777756
M02,FAM,NaN
M03,FAM,32.01296428
M04,FAM,NaN
M05,FAM,30.50297621
M06,FAM,NaN
M07,FAM,31.76155409
M08,FAM,NaN
M09,FAM,31.01845049
M10,FAM,NaN
M11,FAM,32.26507727
M12,FAM,NaN
M13,FAM,30.45258011
M14,FAM,NaN
M15,FAM,33.16206903
M16,FAM,NaN
M17,FAM,31.0841223
M18,FAM,NaN
M19,FAM,32.56054376
M20,FAM,NaN
M21,FAM,NaN
M22,FAM,NaN
M23,FAM,NaN
M24,FAM,NaN
N01,FAM,31.09724739
N02,FAM,NaN
N03,FAM,32.17554684
N04,FAM,NaN
N05,FAM,30.40243125
N06,FAM,NaN
N07,FAM,31.80032311
N08,FAM,NaN
N09,FAM,31.05826759
N10,FAM,NaN
N11,FAM,32.31335395
N12,FAM,NaN
N13,FAM,30.46823519
N14,FAM,NaN
N15,FAM,32.93362921
N16,FAM,NaN
N17,FAM,31.1963313
N18,FAM,NaN
N19,FAM,32.33396982
N20,FAM,NaN
N21,FAM,NaN
N22,FAM,NaN
N23,FAM,NaN
N24,FAM,NaN
O01,FAM,31.1403945
O02,FAM,NaN
O03,FAM,31.36206966
O04,FAM,NaN
O05,FAM,30.26050934
O06,FAM,NaN
O07,FAM,31.89282733
O08,FAM,NaN
O09,FAM,31.00961349
O10,FAM,NaN
O11,FAM,32.46735533
O12,FAM,NaN
O13,FAM,31.02188235
O14,FAM,NaN
O15,FAM,33.26808635
O16,FAM,NaN
O17,FAM,31.1084955
O18,FAM,NaN
O19,FAM,32.7771901
O20,FAM,NaN
O21,FAM,NaN
O22,FAM,NaN
O23,FAM,NaN
O24,FAM,NaN
P01,FAM,NaN
P02,FAM,NaN
P03,FAM,NaN
P04,FAM,NaN
P05,FAM,NaN
P06,FAM,NaN
P07,FAM,NaN
P08,FAM,NaN
P09,FAM,NaN
P10,FAM,NaN
P11,FAM,NaN
P12,FAM,NaN
P13,FAM,NaN
